gene id, D-loop w/o 2 sections,D-loop wrong boundaries,no locations info, no gene id features, no features, unable to extract
D-loop,,KP698575.1 - It ends at 190 but tRNA-Phe starts at 580,,,,
D-loop,,KP691986.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KP698513.1 - It ends at 190 but tRNA-Phe starts at 575,,,,
D-loop,,KP691018.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KP692737.1 - It ends at 190 but tRNA-Phe starts at 583,,,,
D-loop,,KP698514.1 - It ends at 190 but tRNA-Phe starts at 580,,,,
D-loop,,KP688571.1 - It ends at 190 but tRNA-Phe starts at 579,,,,
D-loop,,KP688570.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KP669006.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KP669005.1 - It ends at 190 but tRNA-Phe starts at 583,,,,
D-loop,,KP702821.1 - It ends at 190 but tRNA-Phe starts at 582,,,,
D-loop,,KP702761.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KF836133.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KJ856840.1 - It starts at 1,,,,
D-loop,,KJ856831.1 - It starts at 5,,,,
D-loop,,KM007555.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,KJ186009.1,,,,,
D-loop,KJ186008.1,,,,,
D-loop,KJ186007.1,,,,,
D-loop,KJ186006.1,,,,,
D-loop,KJ186005.1,,,,,
D-loop,KJ186004.1,,,,,
D-loop,KJ186003.1,,,,,
D-loop,KJ186002.1,,,,,
D-loop,KJ186001.1,,,,,
D-loop,KJ186000.1,,,,,
D-loop,KJ185999.1,,,,,
D-loop,KJ185998.1,,,,,
D-loop,KJ185997.1,,,,,
D-loop,KJ185996.1,,,,,
D-loop,KJ185995.1,,,,,
D-loop,KJ185994.1,,,,,
D-loop,KJ185993.1,,,,,
D-loop,KJ185992.1,,,,,
D-loop,KJ185991.1,,,,,
D-loop,KJ185990.1,,,,,
D-loop,KJ185989.1,,,,,
D-loop,KJ185988.1,,,,,
D-loop,KJ185987.1,,,,,
D-loop,KJ185986.1,,,,,
D-loop,KJ185985.1,,,,,
D-loop,KJ185984.1,,,,,
D-loop,KJ185983.1,,,,,
D-loop,KJ185982.1,,,,,
D-loop,KJ185981.1,,,,,
D-loop,KJ185980.1,,,,,
D-loop,KJ185979.1,,,,,
D-loop,KJ185978.1,,,,,
D-loop,KJ185977.1,,,,,
D-loop,KJ185976.1,,,,,
D-loop,KJ185975.1,,,,,
D-loop,KJ185974.1,,,,,
D-loop,KJ185973.1,,,,,
D-loop,KJ185972.1,,,,,
D-loop,KJ185971.1,,,,,
D-loop,KJ185970.1,,,,,
D-loop,KJ185969.1,,,,,
D-loop,KJ185968.1,,,,,
D-loop,KJ185967.1,,,,,
D-loop,KJ185966.1,,,,,
D-loop,KJ185965.1,,,,,
D-loop,KJ185964.1,,,,,
D-loop,KJ185963.1,,,,,
D-loop,KJ185962.1,,,,,
D-loop,KJ185961.1,,,,,
D-loop,KJ185960.1,,,,,
D-loop,KJ185959.1,,,,,
D-loop,KJ185958.1,,,,,
D-loop,KJ185957.1,,,,,
D-loop,KJ185956.1,,,,,
D-loop,KJ185955.1,,,,,
D-loop,KJ185954.1,,,,,
D-loop,KJ185953.1,,,,,
D-loop,KJ185952.1,,,,,
D-loop,KJ185951.1,,,,,
D-loop,KJ185950.1,,,,,
D-loop,KJ185949.1,,,,,
D-loop,KJ185948.1,,,,,
D-loop,KJ185947.1,,,,,
D-loop,KJ185946.1,,,,,
D-loop,KJ185945.1,,,,,
D-loop,KJ185944.1,,,,,
D-loop,KJ185943.1,,,,,
D-loop,KJ185942.1,,,,,
D-loop,KJ185941.1,,,,,
D-loop,KJ185940.1,,,,,
D-loop,KJ185939.1,,,,,
D-loop,KJ185938.1,,,,,
D-loop,KJ185937.1,,,,,
D-loop,KJ185936.1,,,,,
D-loop,KJ185935.1,,,,,
D-loop,KJ185934.1,,,,,
D-loop,KJ185933.1,,,,,
D-loop,KJ185932.1,,,,,
D-loop,KJ185931.1,,,,,
D-loop,KJ185930.1,,,,,
D-loop,KJ185929.1,,,,,
D-loop,KJ185928.1,,,,,
D-loop,KJ185927.1,,,,,
D-loop,KJ185926.1,,,,,
D-loop,KJ185925.1,,,,,
D-loop,KJ185924.1,,,,,
D-loop,KJ185923.1,,,,,
D-loop,KJ185922.1,,,,,
D-loop,KJ185921.1,,,,,
D-loop,KJ185920.1,,,,,
D-loop,KJ185919.1,,,,,
D-loop,KJ185918.1,,,,,
D-loop,KJ185917.1,,,,,
D-loop,KJ185916.1,,,,,
D-loop,KJ185915.1,,,,,
D-loop,KJ185914.1,,,,,
D-loop,KJ185913.1,,,,,
D-loop,KJ185912.1,,,,,
D-loop,KJ185911.1,,,,,
D-loop,KJ185910.1,,,,,
D-loop,KJ185909.1,,,,,
D-loop,KJ185908.1,,,,,
D-loop,KJ185907.1,,,,,
D-loop,KJ185906.1,,,,,
D-loop,KJ185905.1,,,,,
D-loop,KJ185904.1,,,,,
D-loop,KJ185903.1,,,,,
D-loop,KJ185902.1,,,,,
D-loop,KJ185901.1,,,,,
D-loop,KJ185900.1,,,,,
D-loop,KJ185899.1,,,,,
D-loop,KJ185898.1,,,,,
D-loop,KJ185897.1,,,,,
D-loop,KJ185896.1,,,,,
D-loop,KJ185895.1,,,,,
D-loop,KJ185894.1,,,,,
D-loop,KJ185893.1,,,,,
D-loop,KJ185892.1,,,,,
D-loop,KJ185891.1,,,,,
D-loop,KJ185890.1,,,,,
D-loop,KJ185889.1,,,,,
D-loop,KJ185888.1,,,,,
D-loop,KJ185887.1,,,,,
D-loop,KJ185886.1,,,,,
D-loop,KJ185885.1,,,,,
D-loop,KJ185884.1,,,,,
D-loop,KJ185883.1,,,,,
D-loop,KJ185882.1,,,,,
D-loop,KJ185881.1,,,,,
D-loop,KJ185880.1,,,,,
D-loop,KJ185879.1,,,,,
D-loop,KJ185878.1,,,,,
D-loop,KJ185877.1,,,,,
D-loop,KJ185876.1,,,,,
D-loop,KJ185875.1,,,,,
D-loop,KJ185874.1,,,,,
D-loop,KJ185873.1,,,,,
D-loop,KJ185872.1,,,,,
D-loop,KJ185871.1,,,,,
D-loop,KJ185870.1,,,,,
D-loop,KJ185869.1,,,,,
D-loop,KJ185868.1,,,,,
D-loop,KJ185867.1,,,,,
D-loop,KJ185866.1,,,,,
D-loop,KJ185865.1,,,,,
D-loop,KJ185864.1,,,,,
D-loop,KJ185863.1,,,,,
D-loop,KJ185862.1,,,,,
D-loop,KJ185861.1,,,,,
D-loop,KJ185860.1,,,,,
D-loop,KJ185859.1,,,,,
D-loop,KJ185858.1,,,,,
D-loop,KJ185857.1,,,,,
D-loop,KJ185856.1,,,,,
D-loop,KJ185855.1,,,,,
D-loop,KJ185854.1,,,,,
D-loop,KJ185853.1,,,,,
D-loop,KJ185852.1,,,,,
D-loop,KJ185851.1,,,,,
D-loop,KJ185850.1,,,,,
D-loop,KJ185849.1,,,,,
D-loop,KJ185848.1,,,,,
D-loop,KJ185847.1,,,,,
D-loop,KJ185846.1,,,,,
D-loop,KJ185845.1,,,,,
D-loop,KJ185844.1,,,,,
D-loop,KJ185843.1,,,,,
D-loop,KJ185842.1,,,,,
D-loop,KJ185841.1,,,,,
D-loop,KJ185840.1,,,,,
D-loop,KJ185839.1,,,,,
D-loop,KJ185838.1,,,,,
D-loop,KJ185837.1,,,,,
D-loop,KJ185836.1,,,,,
D-loop,KJ185835.1,,,,,
D-loop,KJ185834.1,,,,,
D-loop,KJ185833.1,,,,,
D-loop,KJ185832.1,,,,,
D-loop,KJ185831.1,,,,,
D-loop,KJ185830.1,,,,,
D-loop,KJ185829.1,,,,,
D-loop,KJ185828.1,,,,,
D-loop,KJ185827.1,,,,,
D-loop,KJ185826.1,,,,,
D-loop,KJ185825.1,,,,,
D-loop,KJ185824.1,,,,,
D-loop,KJ185823.1,,,,,
D-loop,KJ185822.1,,,,,
D-loop,KJ185821.1,,,,,
D-loop,KJ185820.1,,,,,
D-loop,KJ185819.1,,,,,
D-loop,KJ185818.1,,,,,
D-loop,KJ185817.1,,,,,
D-loop,KJ185816.1,,,,,
D-loop,KJ185815.1,,,,,
D-loop,KJ185814.1,,,,,
D-loop,KJ185813.1,,,,,
D-loop,KJ185812.1,,,,,
D-loop,KJ185811.1,,,,,
D-loop,KJ185810.1,,,,,
D-loop,KJ185809.1,,,,,
D-loop,KJ185808.1,,,,,
D-loop,KJ185807.1,,,,,
D-loop,KJ185806.1,,,,,
D-loop,KJ185805.1,,,,,
D-loop,KJ185804.1,,,,,
D-loop,KJ185803.1,,,,,
D-loop,KJ185802.1,,,,,
D-loop,KJ185801.1,,,,,
D-loop,KJ185800.1,,,,,
D-loop,KJ185799.1,,,,,
D-loop,KJ185798.1,,,,,
D-loop,KJ185797.1,,,,,
D-loop,KJ185796.1,,,,,
D-loop,KJ185795.1,,,,,
D-loop,KJ185794.1,,,,,
D-loop,KJ185793.1,,,,,
D-loop,KJ185792.1,,,,,
D-loop,KJ185791.1,,,,,
D-loop,KJ185790.1,,,,,
D-loop,KJ185789.1,,,,,
D-loop,KJ185788.1,,,,,
D-loop,KJ185787.1,,,,,
D-loop,KJ185786.1,,,,,
D-loop,KJ185785.1,,,,,
D-loop,KJ185784.1,,,,,
D-loop,KJ185783.1,,,,,
D-loop,KJ185782.1,,,,,
D-loop,KJ185781.1,,,,,
D-loop,KJ185780.1,,,,,
D-loop,KJ185779.1,,,,,
D-loop,KJ185778.1,,,,,
D-loop,KJ185777.1,,,,,
D-loop,KJ185776.1,,,,,
D-loop,KJ185775.1,,,,,
D-loop,KJ185774.1,,,,,
D-loop,KJ185773.1,,,,,
D-loop,KJ185772.1,,,,,
D-loop,KJ185771.1,,,,,
D-loop,KJ185770.1,,,,,
D-loop,KJ185769.1,,,,,
D-loop,KJ185768.1,,,,,
D-loop,KJ185767.1,,,,,
D-loop,KJ185766.1,,,,,
D-loop,KJ185765.1,,,,,
D-loop,KJ185764.1,,,,,
D-loop,KJ185763.1,,,,,
D-loop,KJ185762.1,,,,,
D-loop,KJ185761.1,,,,,
D-loop,KJ185760.1,,,,,
D-loop,KJ185759.1,,,,,
D-loop,KJ185758.1,,,,,
D-loop,KJ185757.1,,,,,
D-loop,KJ185756.1,,,,,
D-loop,KJ185755.1,,,,,
D-loop,KJ185754.1,,,,,
D-loop,KJ185753.1,,,,,
D-loop,KJ185752.1,,,,,
D-loop,KJ185751.1,,,,,
D-loop,KJ185750.1,,,,,
D-loop,KJ185749.1,,,,,
D-loop,KJ185748.1,,,,,
D-loop,KJ185747.1,,,,,
D-loop,KJ185746.1,,,,,
D-loop,KJ185745.1,,,,,
D-loop,KJ185744.1,,,,,
D-loop,KJ185743.1,,,,,
D-loop,KJ185742.1,,,,,
D-loop,KJ185741.1,,,,,
D-loop,KJ185740.1,,,,,
D-loop,KJ185739.1,,,,,
D-loop,KJ185738.1,,,,,
D-loop,KJ185737.1,,,,,
D-loop,KJ185736.1,,,,,
D-loop,KJ185735.1,,,,,
D-loop,KJ185734.1,,,,,
D-loop,KJ185733.1,,,,,
D-loop,KJ185732.1,,,,,
D-loop,KJ185731.1,,,,,
D-loop,KJ185730.1,,,,,
D-loop,KJ185729.1,,,,,
D-loop,KJ185728.1,,,,,
D-loop,KJ185727.1,,,,,
D-loop,KJ185726.1,,,,,
D-loop,KJ185725.1,,,,,
D-loop,KJ185724.1,,,,,
D-loop,KJ185723.1,,,,,
D-loop,KJ185722.1,,,,,
D-loop,KJ185721.1,,,,,
D-loop,KJ185720.1,,,,,
D-loop,KJ185719.1,,,,,
D-loop,KJ185718.1,,,,,
D-loop,KJ185717.1,,,,,
D-loop,KJ185716.1,,,,,
D-loop,KJ185715.1,,,,,
D-loop,KJ185714.1,,,,,
D-loop,KJ185713.1,,,,,
D-loop,KJ185712.1,,,,,
D-loop,KJ185711.1,,,,,
D-loop,KJ185710.1,,,,,
D-loop,KJ185709.1,,,,,
D-loop,KJ185708.1,,,,,
D-loop,KJ185707.1,,,,,
D-loop,KJ185706.1,,,,,
D-loop,KJ185705.1,,,,,
D-loop,KJ185704.1,,,,,
D-loop,KJ185703.1,,,,,
D-loop,KJ185702.1,,,,,
D-loop,KJ185701.1,,,,,
D-loop,KJ185700.1,,,,,
D-loop,KJ185699.1,,,,,
D-loop,KJ185698.1,,,,,
D-loop,KJ185697.1,,,,,
D-loop,KJ185696.1,,,,,
D-loop,KJ185695.1,,,,,
D-loop,KJ185694.1,,,,,
D-loop,KJ185693.1,,,,,
D-loop,KJ185692.1,,,,,
D-loop,KJ185691.1,,,,,
D-loop,KJ185690.1,,,,,
D-loop,KJ185689.1,,,,,
D-loop,KJ185688.1,,,,,
D-loop,KJ185687.1,,,,,
D-loop,KJ185686.1,,,,,
D-loop,KJ185685.1,,,,,
D-loop,KJ185684.1,,,,,
D-loop,KJ185683.1,,,,,
D-loop,KJ185682.1,,,,,
D-loop,KJ185681.1,,,,,
D-loop,KJ185680.1,,,,,
D-loop,KJ185679.1,,,,,
D-loop,KJ185678.1,,,,,
D-loop,KJ185677.1,,,,,
D-loop,KJ185676.1,,,,,
D-loop,KJ185675.1,,,,,
D-loop,KJ185674.1,,,,,
D-loop,KJ185673.1,,,,,
D-loop,KJ185672.1,,,,,
D-loop,KJ185671.1,,,,,
D-loop,KJ185670.1,,,,,
D-loop,KJ185669.1,,,,,
D-loop,KJ185668.1,,,,,
D-loop,KJ185667.1,,,,,
D-loop,KJ185666.1,,,,,
D-loop,KJ185665.1,,,,,
D-loop,KJ185664.1,,,,,
D-loop,KJ185663.1,,,,,
D-loop,KJ185662.1,,,,,
D-loop,KJ185661.1,,,,,
D-loop,KJ185660.1,,,,,
D-loop,KJ185659.1,,,,,
D-loop,KJ185658.1,,,,,
D-loop,KJ185657.1,,,,,
D-loop,KJ185656.1,,,,,
D-loop,KJ185655.1,,,,,
D-loop,KJ185654.1,,,,,
D-loop,KJ185653.1,,,,,
D-loop,KJ185652.1,,,,,
D-loop,KJ185651.1,,,,,
D-loop,KJ185650.1,,,,,
D-loop,KJ185649.1,,,,,
D-loop,KJ185648.1,,,,,
D-loop,KJ185647.1,,,,,
D-loop,KJ185646.1,,,,,
D-loop,KJ185645.1,,,,,
D-loop,KJ185644.1,,,,,
D-loop,KJ185643.1,,,,,
D-loop,KJ185642.1,,,,,
D-loop,KJ185641.1,,,,,
D-loop,KJ185640.1,,,,,
D-loop,KJ185639.1,,,,,
D-loop,KJ185638.1,,,,,
D-loop,KJ185637.1,,,,,
D-loop,KJ185636.1,,,,,
D-loop,KJ185635.1,,,,,
D-loop,KJ185634.1,,,,,
D-loop,KJ185633.1,,,,,
D-loop,KJ185632.1,,,,,
D-loop,KJ185631.1,,,,,
D-loop,KJ185630.1,,,,,
D-loop,KJ185629.1,,,,,
D-loop,KJ185628.1,,,,,
D-loop,KJ185627.1,,,,,
D-loop,KJ185626.1,,,,,
D-loop,KJ185625.1,,,,,
D-loop,KJ185624.1,,,,,
D-loop,KJ185623.1,,,,,
D-loop,KJ185622.1,,,,,
D-loop,KJ185621.1,,,,,
D-loop,KJ185620.1,,,,,
D-loop,KJ185619.1,,,,,
D-loop,KJ185618.1,,,,,
D-loop,KJ185617.1,,,,,
D-loop,KJ185616.1,,,,,
D-loop,KJ185615.1,,,,,
D-loop,KJ185614.1,,,,,
D-loop,KJ185613.1,,,,,
D-loop,KJ185612.1,,,,,
D-loop,KJ185611.1,,,,,
D-loop,KJ185610.1,,,,,
D-loop,KJ185609.1,,,,,
D-loop,KJ185608.1,,,,,
D-loop,KJ185607.1,,,,,
D-loop,KJ185606.1,,,,,
D-loop,KJ185605.1,,,,,
D-loop,KJ185604.1,,,,,
D-loop,KJ185603.1,,,,,
D-loop,KJ185602.1,,,,,
D-loop,KJ185601.1,,,,,
D-loop,KJ185600.1,,,,,
D-loop,KJ185599.1,,,,,
D-loop,KJ185598.1,,,,,
D-loop,KJ185597.1,,,,,
D-loop,KJ185596.1,,,,,
D-loop,KJ185595.1,,,,,
D-loop,KJ185594.1,,,,,
D-loop,KJ185593.1,,,,,
D-loop,KJ185592.1,,,,,
D-loop,KJ185591.1,,,,,
D-loop,KJ185590.1,,,,,
D-loop,KJ185589.1,,,,,
D-loop,KJ185588.1,,,,,
D-loop,KJ185587.1,,,,,
D-loop,KJ185586.1,,,,,
D-loop,KJ185585.1,,,,,
D-loop,KJ185584.1,,,,,
D-loop,KJ185583.1,,,,,
D-loop,KJ185582.1,,,,,
D-loop,KJ185581.1,,,,,
D-loop,KJ185580.1,,,,,
D-loop,KJ185579.1,,,,,
D-loop,KJ185578.1,,,,,
D-loop,KJ185577.1,,,,,
D-loop,KJ185576.1,,,,,
D-loop,KJ185575.1,,,,,
D-loop,KJ185574.1,,,,,
D-loop,KJ185573.1,,,,,
D-loop,KJ185572.1,,,,,
D-loop,KJ185571.1,,,,,
D-loop,KJ185570.1,,,,,
D-loop,KJ185569.1,,,,,
D-loop,KJ185568.1,,,,,
D-loop,KJ185567.1,,,,,
D-loop,KJ185566.1,,,,,
D-loop,KJ185565.1,,,,,
D-loop,KJ185564.1,,,,,
D-loop,KJ185563.1,,,,,
D-loop,KJ185562.1,,,,,
D-loop,KJ185561.1,,,,,
D-loop,KJ185560.1,,,,,
D-loop,KJ185559.1,,,,,
D-loop,KJ185558.1,,,,,
D-loop,KJ185557.1,,,,,
D-loop,KJ185556.1,,,,,
D-loop,KJ185555.1,,,,,
D-loop,KJ185554.1,,,,,
D-loop,KJ185553.1,,,,,
D-loop,KJ185552.1,,,,,
D-loop,KJ185551.1,,,,,
D-loop,KJ185550.1,,,,,
D-loop,KJ185549.1,,,,,
D-loop,KJ185548.1,,,,,
D-loop,KJ185547.1,,,,,
D-loop,KJ185546.1,,,,,
D-loop,KJ185545.1,,,,,
D-loop,KJ185544.1,,,,,
D-loop,KJ185543.1,,,,,
D-loop,KJ185542.1,,,,,
D-loop,KJ185541.1,,,,,
D-loop,KJ185540.1,,,,,
D-loop,KJ185539.1,,,,,
D-loop,KJ185538.1,,,,,
D-loop,KJ185537.1,,,,,
D-loop,KJ185536.1,,,,,
D-loop,KJ185535.1,,,,,
D-loop,KJ185534.1,,,,,
D-loop,KJ185533.1,,,,,
D-loop,KJ185532.1,,,,,
D-loop,KJ185531.1,,,,,
D-loop,KJ185530.1,,,,,
D-loop,KJ185529.1,,,,,
D-loop,KJ185528.1,,,,,
D-loop,KJ185527.1,,,,,
D-loop,KJ185526.1,,,,,
D-loop,KJ185525.1,,,,,
D-loop,KJ185524.1,,,,,
D-loop,KJ185523.1,,,,,
D-loop,KJ185522.1,,,,,
D-loop,KJ185521.1,,,,,
D-loop,KJ185520.1,,,,,
D-loop,KJ185519.1,,,,,
D-loop,KJ185518.1,,,,,
D-loop,KJ185517.1,,,,,
D-loop,KJ185516.1,,,,,
D-loop,KJ185515.1,,,,,
D-loop,KJ185514.1,,,,,
D-loop,KJ185513.1,,,,,
D-loop,KJ185512.1,,,,,
D-loop,KJ185511.1,,,,,
D-loop,KJ185510.1,,,,,
D-loop,KJ185509.1,,,,,
D-loop,KJ185508.1,,,,,
D-loop,KJ185507.1,,,,,
D-loop,KJ185506.1,,,,,
D-loop,KJ185505.1,,,,,
D-loop,KJ185504.1,,,,,
D-loop,KJ185503.1,,,,,
D-loop,KJ185502.1,,,,,
D-loop,KJ185501.1,,,,,
D-loop,KJ185500.1,,,,,
D-loop,KJ185499.1,,,,,
D-loop,KJ185498.1,,,,,
D-loop,KJ185497.1,,,,,
D-loop,KJ185496.1,,,,,
D-loop,KJ185495.1,,,,,
D-loop,KJ185494.1,,,,,
D-loop,KJ185493.1,,,,,
D-loop,KJ185492.1,,,,,
D-loop,KJ185491.1,,,,,
D-loop,KJ185490.1,,,,,
D-loop,KJ185489.1,,,,,
D-loop,KJ185488.1,,,,,
D-loop,KJ185487.1,,,,,
D-loop,KJ185486.1,,,,,
D-loop,KJ185485.1,,,,,
D-loop,KJ185484.1,,,,,
D-loop,KJ185483.1,,,,,
D-loop,KJ185482.1,,,,,
D-loop,KJ185481.1,,,,,
D-loop,KJ185480.1,,,,,
D-loop,KJ185479.1,,,,,
D-loop,KJ185478.1,,,,,
D-loop,KJ185477.1,,,,,
D-loop,KJ185476.1,,,,,
D-loop,KJ185475.1,,,,,
D-loop,KJ185474.1,,,,,
D-loop,KJ185473.1,,,,,
D-loop,KJ185472.1,,,,,
D-loop,KJ185471.1,,,,,
D-loop,KJ185470.1,,,,,
D-loop,KJ185469.1,,,,,
D-loop,KJ185468.1,,,,,
D-loop,KJ185467.1,,,,,
D-loop,KJ185466.1,,,,,
D-loop,KJ185465.1,,,,,
D-loop,KJ185464.1,,,,,
D-loop,KJ185463.1,,,,,
D-loop,KJ185462.1,,,,,
D-loop,KJ185461.1,,,,,
D-loop,KJ185460.1,,,,,
D-loop,KJ185459.1,,,,,
D-loop,KJ185458.1,,,,,
D-loop,KJ185457.1,,,,,
D-loop,KJ185456.1,,,,,
D-loop,KJ185455.1,,,,,
D-loop,KJ185454.1,,,,,
D-loop,KJ185453.1,,,,,
D-loop,KJ185452.1,,,,,
D-loop,KJ185451.1,,,,,
D-loop,KJ185450.1,,,,,
D-loop,KJ185449.1,,,,,
D-loop,KJ185448.1,,,,,
D-loop,KJ185447.1,,,,,
D-loop,KJ185446.1,,,,,
D-loop,KJ185445.1,,,,,
D-loop,KJ185444.1,,,,,
D-loop,KJ185443.1,,,,,
D-loop,KJ185442.1,,,,,
D-loop,KJ185441.1,,,,,
D-loop,KJ185440.1,,,,,
D-loop,KJ185439.1,,,,,
D-loop,KJ185438.1,,,,,
D-loop,KJ185437.1,,,,,
D-loop,KJ185436.1,,,,,
D-loop,KJ185435.1,,,,,
D-loop,KJ185434.1,,,,,
D-loop,KJ185433.1,,,,,
D-loop,KJ185432.1,,,,,
D-loop,KJ185431.1,,,,,
D-loop,KJ185430.1,,,,,
D-loop,KJ185429.1,,,,,
D-loop,KJ185428.1,,,,,
D-loop,KJ185427.1,,,,,
D-loop,KJ185426.1,,,,,
D-loop,KJ185425.1,,,,,
D-loop,KJ185424.1,,,,,
D-loop,KJ185423.1,,,,,
D-loop,KJ185422.1,,,,,
D-loop,KJ185421.1,,,,,
D-loop,KJ185420.1,,,,,
D-loop,KJ185419.1,,,,,
D-loop,KJ185418.1,,,,,
D-loop,KJ185417.1,,,,,
D-loop,KJ185416.1,,,,,
D-loop,KJ185415.1,,,,,
D-loop,KJ185414.1,,,,,
D-loop,KJ185413.1,,,,,
D-loop,KJ185412.1,,,,,
D-loop,KJ185411.1,,,,,
D-loop,KJ185410.1,,,,,
D-loop,KJ185409.1,,,,,
D-loop,KJ185408.1,,,,,
D-loop,KJ185407.1,,,,,
D-loop,KJ185406.1,,,,,
D-loop,KJ185405.1,,,,,
D-loop,KJ185404.1,,,,,
D-loop,KJ185403.1,,,,,
D-loop,KJ185402.1,,,,,
D-loop,KJ185401.1,,,,,
D-loop,KJ185400.1,,,,,
D-loop,KJ185399.1,,,,,
D-loop,KJ185398.1,,,,,
D-loop,KJ185397.1,,,,,
D-loop,KJ185396.1,,,,,
D-loop,KJ185395.1,,,,,
D-loop,KJ185394.1,,,,,
D-loop,,JN660158.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,KJ871653.1,,,,,
D-loop,KJ890390.1,,,,,
D-loop,KJ890387.1,,,,,
D-loop,KJ890389.1,,,,,
D-loop,KJ890388.1,,,,,
D-loop,KJ882428.1,,,,,
D-loop,KJ871654.1,,,,,
D-loop,KJ882427.1,,,,,
D-loop,KJ882848.1,,,,,
D-loop,,KJ401945.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KJ371984.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,WARNING: KC911619.1 - It ends at 497 but tRNA-Phe starts at 498,,,,
