gene,haplogroup,tool,#columns
COX1,R0,mafft_auto,1542
COX1,R0,mafft_parttree,1542
COX1,B6,clustalo,1
COX1,B6,mafft_auto,1
COX1,B6,mafft_parttree,1
COX1,F,clustalo,1542
COX1,F,mafft_auto,1542
COX1,F,mafft_parttree,1542
COX1,J,clustalo,1542
COX1,J,mafft_auto,1542
COX1,J,mafft_parttree,1542
COX1,P,clustalo,1542
COX1,P,mafft_auto,1542
COX1,P,mafft_parttree,1542
COX1,K,clustalo,1542
COX1,K,mafft_auto,1542
COX1,K,mafft_parttree,1542
COX1,B,clustalo,1542
COX1,B,mafft_auto,1542
COX1,B,mafft_parttree,1542
COX1,HV,clustalo,1542
COX1,HV,mafft_auto,1542
COX1,HV,mafft_parttree,1542
COX1,T,clustalo,1542
COX1,T,mafft_auto,1542
COX1,T,mafft_parttree,1542
COX1,R,clustalo,97
COX1,R,mafft_auto,97
COX1,R,mafft_parttree,97
COX1,H,clustalo,804
COX1,H,mafft_auto,804
COX1,H,mafft_parttree,804
COX1,V,clustalo,1542
COX1,V,mafft_auto,1542
COX1,V,mafft_parttree,1542
COX1,U,clustalo,1542
COX1,U,mafft_auto,1542
COX1,U,mafft_parttree,1542
COX2,L0,clustalo,684
COX2,L0,mafft_auto,684
COX2,L0,mafft_parttree,684
COX2,L1,clustalo,57
COX2,L1,mafft_auto,57
COX2,L1,mafft_parttree,57
COX2,L2,clustalo,67
COX2,L2,mafft_auto,67
COX2,L2,mafft_parttree,67
COX2,L3,clustalo,72
COX2,L3,mafft_auto,72
COX2,L3,mafft_parttree,72
COX2,L4,clustalo,13
COX2,L4,mafft_auto,13
COX2,L4,mafft_parttree,13
COX2,L5,clustalo,9
COX2,L5,mafft_auto,9
COX2,L5,mafft_parttree,9
COX2,L6,clustalo,1
COX2,L6,mafft_auto,1
COX2,L6,mafft_parttree,1
COX2,M,clustalo,684
COX2,M,mafft_auto,684
COX2,M,mafft_parttree,684
COX2,C,clustalo,684
COX2,C,mafft_auto,684
COX2,C,mafft_parttree,684
COX2,E,clustalo,684
COX2,E,mafft_auto,684
COX2,E,mafft_parttree,684
COX2,G,clustalo,19
COX2,G,mafft_auto,19
COX2,G,mafft_parttree,19
COX2,Q,clustalo,684
COX2,Q,mafft_auto,684
COX2,Q,mafft_parttree,684
COX2,Z,clustalo,684
COX2,Z,mafft_auto,684
COX2,Z,mafft_parttree,684
COX2,D,clustalo,62
COX2,D,mafft_auto,62
COX2,D,mafft_parttree,62
COX2,N,clustalo,684
COX2,N,mafft_auto,684
COX2,N,mafft_parttree,684
COX2,A,clustalo,684
COX2,A,mafft_auto,684
COX2,A,mafft_parttree,684
COX2,I,clustalo,684
COX2,I,mafft_auto,684
COX2,I,mafft_parttree,684
COX2,O,clustalo,not
COX2,O,mafft_auto,not
COX2,O,mafft_parttree,not
COX2,S,clustalo,684
COX2,S,mafft_auto,684
COX2,S,mafft_parttree,684
COX2,W,clustalo,54
COX2,W,mafft_auto,54
COX2,W,mafft_parttree,54
COX2,X,clustalo,684
COX2,X,mafft_auto,684
COX2,X,mafft_parttree,684
COX2,Y,clustalo,6
COX2,Y,mafft_auto,6
COX2,Y,mafft_parttree,6
COX2,R0,clustalo,684
COX2,R0,mafft_auto,684
COX2,R0,mafft_parttree,684
COX2,B6,clustalo,2
COX2,B6,mafft_auto,2
COX2,B6,mafft_parttree,2
COX2,F,clustalo,684
COX2,F,mafft_auto,684
COX2,F,mafft_parttree,684
COX2,J,clustalo,684
COX2,J,mafft_auto,684
COX2,J,mafft_parttree,684
COX2,P,clustalo,684
COX2,P,mafft_auto,684
COX2,P,mafft_parttree,684
COX2,K,clustalo,684
COX2,K,mafft_auto,684
COX2,K,mafft_parttree,684
COX2,B,clustalo,684
COX2,B,mafft_auto,684
COX2,B,mafft_parttree,684
COX2,HV,clustalo,684
COX2,HV,mafft_auto,684
COX2,HV,mafft_parttree,684
COX2,T,clustalo,684
COX2,T,mafft_auto,684
COX2,T,mafft_parttree,684
COX2,R,clustalo,55
COX2,R,mafft_auto,55
COX2,R,mafft_parttree,55
COX2,H,clustalo,247
COX2,H,mafft_auto,247
COX2,H,mafft_parttree,247
COX2,V,clustalo,684
COX2,V,mafft_auto,684
COX2,V,mafft_parttree,684
COX2,U,clustalo,684
COX2,U,mafft_auto,684
COX2,U,mafft_parttree,684
COX3,L0,clustalo,784
COX3,L0,mafft_auto,784
COX3,L0,mafft_parttree,784
COX3,L1,clustalo,784
COX3,L1,mafft_auto,784
COX3,L1,mafft_parttree,784
COX3,L2,clustalo,80
COX3,L2,mafft_auto,80
COX3,L2,mafft_parttree,80
COX3,L3,clustalo,102
COX3,L3,mafft_auto,102
COX3,L3,mafft_parttree,102
COX3,L4,clustalo,17
COX3,L4,mafft_auto,17
COX3,L4,mafft_parttree,17
COX3,L5,clustalo,12
COX3,L5,mafft_auto,12
COX3,L5,mafft_parttree,12
COX3,L6,clustalo,5
COX3,L6,mafft_auto,5
COX3,L6,mafft_parttree,5
COX3,M,clustalo,222
COX3,M,mafft_auto,221
COX3,M,mafft_parttree,221
COX3,C,clustalo,784
COX3,C,mafft_auto,784
COX3,C,mafft_parttree,784
COX3,E,clustalo,784
COX3,E,mafft_auto,784
COX3,E,mafft_parttree,784
COX3,G,clustalo,18
COX3,G,mafft_auto,18
COX3,G,mafft_parttree,18
COX3,Q,clustalo,784
COX3,Q,mafft_auto,784
COX3,Q,mafft_parttree,784
COX3,Z,clustalo,784
COX3,Z,mafft_auto,784
COX3,Z,mafft_parttree,784
COX3,D,clustalo,89
COX3,D,mafft_auto,89
COX3,D,mafft_parttree,89
COX3,N,clustalo,784
COX3,N,mafft_auto,784
COX3,N,mafft_parttree,784
COX3,A,clustalo,784
COX3,A,mafft_auto,784
COX3,A,mafft_parttree,784
COX3,I,clustalo,784
COX3,I,mafft_auto,784
COX3,I,mafft_parttree,784
COX3,O,clustalo,not
COX3,O,mafft_auto,not
COX3,O,mafft_parttree,not
COX3,S,clustalo,784
COX3,S,mafft_auto,784
COX3,S,mafft_parttree,784
COX3,W,clustalo,26
COX3,W,mafft_auto,26
COX3,W,mafft_parttree,26
COX3,X,clustalo,784
COX3,X,mafft_auto,784
COX3,X,mafft_parttree,784
COX3,Y,clustalo,6
COX3,Y,mafft_auto,6
COX3,Y,mafft_parttree,6
COX3,R0,clustalo,784
COX3,R0,mafft_auto,784
COX3,R0,mafft_parttree,784
COX3,B6,clustalo,3
COX3,B6,mafft_auto,3
COX3,B6,mafft_parttree,3
COX3,F,clustalo,784
COX3,F,mafft_auto,784
COX3,F,mafft_parttree,784
COX3,J,clustalo,784
COX3,J,mafft_auto,784
COX3,J,mafft_parttree,784
COX3,P,clustalo,784
COX3,P,mafft_auto,784
COX3,P,mafft_parttree,784
COX3,K,clustalo,784
COX3,K,mafft_auto,784
COX3,K,mafft_parttree,784
COX3,B,clustalo,784
COX3,B,mafft_auto,784
COX3,B,mafft_parttree,784
COX3,HV,clustalo,60
COX3,HV,mafft_auto,60
COX3,HV,mafft_parttree,60
COX3,T,clustalo,784
COX3,T,mafft_auto,784
COX3,T,mafft_parttree,784
COX3,R,clustalo,75
COX3,R,mafft_auto,75
COX3,R,mafft_parttree,75
COX3,H,clustalo,784
COX3,H,mafft_auto,784
COX3,H,mafft_parttree,784
COX3,V,clustalo,784
COX3,V,mafft_auto,784
COX3,V,mafft_parttree,784
COX3,U,clustalo,784
COX3,U,mafft_auto,784
COX3,U,mafft_parttree,784

gene,tool,haplogroup,#columns
COX1,clustalo,L0,1542
COX1,clustalo,L1,87
COX1,clustalo,L2,1542
COX1,clustalo,L3,174
COX1,clustalo,L4,19
COX1,clustalo,L5,12
COX1,clustalo,L6,5
COX1,clustalo,M,327
COX1,clustalo,C,1542
COX1,clustalo,E,1542
COX1,clustalo,G,31
COX1,clustalo,Q,1542
COX1,clustalo,Z,1542
COX1,clustalo,D,175
COX1,clustalo,N,1542
COX1,clustalo,A,1542
COX1,clustalo,I,1542
COX1,clustalo,O,1
COX1,clustalo,S,1542
COX1,clustalo,W,44
COX1,clustalo,X,1542
COX1,clustalo,Y,7
COX1,clustalo,R0,1542
COX1,clustalo,B6,1
COX1,clustalo,F,1542
COX1,clustalo,J,1542
COX1,clustalo,P,1542
COX1,clustalo,K,1542
COX1,clustalo,B,1542
COX1,clustalo,HV,1542
COX1,clustalo,T,1542
COX1,clustalo,R,97
COX1,clustalo,H,804
COX1,clustalo,V,1542
COX1,clustalo,U,1542
COX1,mafft_auto,L0,1542
COX1,mafft_auto,L1,87
COX1,mafft_auto,L2,1542
COX1,mafft_auto,L3,174
COX1,mafft_auto,L4,19
COX1,mafft_auto,L5,12
COX1,mafft_auto,L6,5
COX1,mafft_auto,M,327
COX1,mafft_auto,C,1542
COX1,mafft_auto,E,1542
COX1,mafft_auto,G,31
COX1,mafft_auto,Q,1542
COX1,mafft_auto,Z,1542
COX1,mafft_auto,D,175
COX1,mafft_auto,N,1542
COX1,mafft_auto,A,1542
COX1,mafft_auto,I,1542
COX1,mafft_auto,O,1
COX1,mafft_auto,S,1542
COX1,mafft_auto,W,44
COX1,mafft_auto,X,1542
COX1,mafft_auto,Y,7
COX1,mafft_auto,R0,1542
COX1,mafft_auto,B6,1
COX1,mafft_auto,F,1542
COX1,mafft_auto,J,1542
COX1,mafft_auto,P,1542
COX1,mafft_auto,K,1542
COX1,mafft_auto,B,1542
COX1,mafft_auto,HV,1542
COX1,mafft_auto,T,1542
COX1,mafft_auto,R,97
COX1,mafft_auto,H,804
COX1,mafft_auto,V,1542
COX1,mafft_auto,U,1542
COX1,mafft_parttree,L0,1542
COX1,mafft_parttree,L1,87
COX1,mafft_parttree,L2,1542
COX1,mafft_parttree,L3,174
COX1,mafft_parttree,L4,19
COX1,mafft_parttree,L5,12
COX1,mafft_parttree,L6,5
COX1,mafft_parttree,M,327
COX1,mafft_parttree,C,1542
COX1,mafft_parttree,E,1542
COX1,mafft_parttree,G,31
COX1,mafft_parttree,Q,1542
COX1,mafft_parttree,Z,1542
COX1,mafft_parttree,D,175
COX1,mafft_parttree,N,1542
COX1,mafft_parttree,A,1542
COX1,mafft_parttree,I,1542
COX1,mafft_parttree,O,1
COX1,mafft_parttree,S,1542
COX1,mafft_parttree,W,44
COX1,mafft_parttree,X,1542
COX1,mafft_parttree,Y,7
COX1,mafft_parttree,R0,1542
COX1,mafft_parttree,B6,1
COX1,mafft_parttree,F,1542
COX1,mafft_parttree,J,1542
COX1,mafft_parttree,P,1542
COX1,mafft_parttree,K,1542
COX1,mafft_parttree,B,1542
COX1,mafft_parttree,HV,1542
COX1,mafft_parttree,T,1542
COX1,mafft_parttree,R,97
COX1,mafft_parttree,H,804
COX1,mafft_parttree,V,1542
COX1,mafft_parttree,U,1542
COX2,clustalo,L0,684
COX2,clustalo,L1,57
COX2,clustalo,L2,67
COX2,clustalo,L3,72
COX2,clustalo,L4,13
COX2,clustalo,L5,9
COX2,clustalo,L6,1
COX2,clustalo,M,684
COX2,clustalo,C,684
COX2,clustalo,E,684
COX2,clustalo,G,19
COX2,clustalo,Q,684
COX2,clustalo,Z,684
COX2,clustalo,D,62
COX2,clustalo,N,684
COX2,clustalo,A,684
COX2,clustalo,I,684
COX2,clustalo,O,not
COX2,clustalo,S,684
COX2,clustalo,W,54
COX2,clustalo,X,684
COX2,clustalo,Y,6
COX2,clustalo,R0,684
COX2,clustalo,B6,2
COX2,clustalo,F,684
COX2,clustalo,J,684
COX2,clustalo,P,684
COX2,clustalo,K,684
COX2,clustalo,B,684
COX2,clustalo,HV,684
COX2,clustalo,T,684
COX2,clustalo,R,55
COX2,clustalo,H,247
COX2,clustalo,V,684
COX2,clustalo,U,684
COX2,mafft_auto,L0,684
COX2,mafft_auto,L1,57
COX2,mafft_auto,L2,67
COX2,mafft_auto,L3,72
COX2,mafft_auto,L4,13
COX2,mafft_auto,L5,9
COX2,mafft_auto,L6,1
COX2,mafft_auto,M,684
COX2,mafft_auto,C,684
COX2,mafft_auto,E,684
COX2,mafft_auto,G,19
COX2,mafft_auto,Q,684
COX2,mafft_auto,Z,684
COX2,mafft_auto,D,62
COX2,mafft_auto,N,684
COX2,mafft_auto,A,684
COX2,mafft_auto,I,684
COX2,mafft_auto,O,not
COX2,mafft_auto,S,684
COX2,mafft_auto,W,54
COX2,mafft_auto,X,684
COX2,mafft_auto,Y,6
COX2,mafft_auto,R0,684
COX2,mafft_auto,B6,2
COX2,mafft_auto,F,684
COX2,mafft_auto,J,684
COX2,mafft_auto,P,684
COX2,mafft_auto,K,684
COX2,mafft_auto,B,684
COX2,mafft_auto,HV,684
COX2,mafft_auto,T,684
COX2,mafft_auto,R,55
COX2,mafft_auto,H,247
COX2,mafft_auto,V,684
COX2,mafft_auto,U,684
COX2,mafft_parttree,L0,684
COX2,mafft_parttree,L1,57
COX2,mafft_parttree,L2,67
COX2,mafft_parttree,L3,72
COX2,mafft_parttree,L4,13
COX2,mafft_parttree,L5,9
COX2,mafft_parttree,L6,1
COX2,mafft_parttree,M,684
COX2,mafft_parttree,C,684
COX2,mafft_parttree,E,684
COX2,mafft_parttree,G,19
COX2,mafft_parttree,Q,684
COX2,mafft_parttree,Z,684
COX2,mafft_parttree,D,62
COX2,mafft_parttree,N,684
COX2,mafft_parttree,A,684
COX2,mafft_parttree,I,684
COX2,mafft_parttree,O,not
COX2,mafft_parttree,S,684
COX2,mafft_parttree,W,54
COX2,mafft_parttree,X,684
COX2,mafft_parttree,Y,6
COX2,mafft_parttree,R0,684
COX2,mafft_parttree,B6,2
COX2,mafft_parttree,F,684
COX2,mafft_parttree,J,684
COX2,mafft_parttree,P,684
COX2,mafft_parttree,K,684
COX2,mafft_parttree,B,684
COX2,mafft_parttree,HV,684
COX2,mafft_parttree,T,684
COX2,mafft_parttree,R,55
COX2,mafft_parttree,H,247
COX2,mafft_parttree,V,684
COX2,mafft_parttree,U,684
COX3,clustalo,L0,784
COX3,clustalo,L1,784
COX3,clustalo,L2,80
COX3,clustalo,L3,102
COX3,clustalo,L4,17
COX3,clustalo,L5,12
COX3,clustalo,L6,5
COX3,clustalo,M,222
COX3,clustalo,C,784
COX3,clustalo,E,784
COX3,clustalo,G,18
COX3,clustalo,Q,784
COX3,clustalo,Z,784
COX3,clustalo,D,89
COX3,clustalo,N,784
COX3,clustalo,A,784
COX3,clustalo,I,784
COX3,clustalo,O,not
COX3,clustalo,S,784
COX3,clustalo,W,26
COX3,clustalo,X,784
COX3,clustalo,Y,6
COX3,clustalo,R0,784
COX3,clustalo,B6,3
COX3,clustalo,F,784
COX3,clustalo,J,784
COX3,clustalo,P,784
COX3,clustalo,K,784
COX3,clustalo,B,784
COX3,clustalo,HV,60
COX3,clustalo,T,784
COX3,clustalo,R,75
COX3,clustalo,H,784
COX3,clustalo,V,784
COX3,clustalo,U,784
COX3,mafft_auto,L0,784
COX3,mafft_auto,L1,784
COX3,mafft_auto,L2,80
COX3,mafft_auto,L3,102
COX3,mafft_auto,L4,17
COX3,mafft_auto,L5,12
COX3,mafft_auto,L6,5
COX3,mafft_auto,M,221
COX3,mafft_auto,C,784
COX3,mafft_auto,E,784
COX3,mafft_auto,G,18
COX3,mafft_auto,Q,784
COX3,mafft_auto,Z,784
COX3,mafft_auto,D,89
COX3,mafft_auto,N,784
COX3,mafft_auto,A,784
COX3,mafft_auto,I,784
COX3,mafft_auto,O,not
COX3,mafft_auto,S,784
COX3,mafft_auto,W,26
COX3,mafft_auto,X,784
COX3,mafft_auto,Y,6
COX3,mafft_auto,R0,784
COX3,mafft_auto,B6,3
COX3,mafft_auto,F,784
COX3,mafft_auto,J,784
COX3,mafft_auto,P,784
COX3,mafft_auto,K,784
COX3,mafft_auto,B,784
COX3,mafft_auto,HV,60
COX3,mafft_auto,T,784
COX3,mafft_auto,R,75
COX3,mafft_auto,H,784
COX3,mafft_auto,V,784
COX3,mafft_auto,U,784
COX3,mafft_parttree,L0,784
COX3,mafft_parttree,L1,784
COX3,mafft_parttree,L2,80
COX3,mafft_parttree,L3,102
COX3,mafft_parttree,L4,17
COX3,mafft_parttree,L5,12
COX3,mafft_parttree,L6,5
COX3,mafft_parttree,M,221
COX3,mafft_parttree,C,784
COX3,mafft_parttree,E,784
COX3,mafft_parttree,G,18
COX3,mafft_parttree,Q,784
COX3,mafft_parttree,Z,784
COX3,mafft_parttree,D,89
COX3,mafft_parttree,N,784
COX3,mafft_parttree,A,784
COX3,mafft_parttree,I,784
COX3,mafft_parttree,O,not
COX3,mafft_parttree,S,784
COX3,mafft_parttree,W,26
COX3,mafft_parttree,X,784
COX3,mafft_parttree,Y,6
COX3,mafft_parttree,R0,784
COX3,mafft_parttree,B6,3
COX3,mafft_parttree,F,784
COX3,mafft_parttree,J,784
COX3,mafft_parttree,P,784
COX3,mafft_parttree,K,784
COX3,mafft_parttree,B,784
COX3,mafft_parttree,HV,60
COX3,mafft_parttree,T,784
COX3,mafft_parttree,R,75
COX3,mafft_parttree,H,784
COX3,mafft_parttree,V,784
COX3,mafft_parttree,U,784

gene,1st haplogroup,2nd haplogroup,1st tool,2nd tool,#diffs
COX1,L0,L1,clustalo,-,147
COX1,L0,L1,mafft_auto,-,147
COX1,L0,L1,mafft_parttree,-,147
COX1,L0,L2,clustalo,-,187
COX1,L0,L2,mafft_auto,-,187
COX1,L0,L2,mafft_parttree,-,187
COX1,L0,L3,clustalo,-,206
COX1,L0,L3,mafft_auto,-,206
COX1,L0,L3,mafft_parttree,-,206
COX1,L0,L4,clustalo,-,122
COX1,L0,L4,mafft_auto,-,122
COX1,L0,L4,mafft_parttree,-,122
COX1,L0,L5,clustalo,-,120
COX1,L0,L5,mafft_auto,-,120
COX1,L0,L5,mafft_parttree,-,120
COX1,L0,L6,clustalo,-,117
COX1,L0,L6,mafft_auto,-,117
COX1,L0,L6,mafft_parttree,-,117
COX1,L0,M,clustalo,-,285
COX1,L0,M,mafft_auto,-,285
COX1,L0,M,mafft_parttree,-,285
COX1,L0,C,clustalo,-,168
COX1,L0,C,mafft_auto,-,168
COX1,L0,C,mafft_parttree,-,168
COX1,L0,E,clustalo,-,122
COX1,L0,E,mafft_auto,-,122
COX1,L0,E,mafft_parttree,-,122
COX1,L0,G,clustalo,-,131
COX1,L0,G,mafft_auto,-,131
COX1,L0,G,mafft_parttree,-,131
COX1,L0,Q,clustalo,-,123
COX1,L0,Q,mafft_auto,-,123
COX1,L0,Q,mafft_parttree,-,123
COX1,L0,Z,clustalo,-,119
COX1,L0,Z,mafft_auto,-,119
COX1,L0,Z,mafft_parttree,-,119
COX1,L0,D,clustalo,-,193
COX1,L0,D,mafft_auto,-,193
COX1,L0,D,mafft_parttree,-,193
COX1,L0,N,clustalo,-,167
COX1,L0,N,mafft_auto,-,167
COX1,L0,N,mafft_parttree,-,167
COX1,L0,A,clustalo,-,170
COX1,L0,A,mafft_auto,-,170
COX1,L0,A,mafft_parttree,-,170
COX1,L0,I,clustalo,-,151
COX1,L0,I,mafft_auto,-,151
COX1,L0,I,mafft_parttree,-,151
COX1,L0,O,clustalo,-,112
COX1,L0,O,mafft_auto,-,112
COX1,L0,O,mafft_parttree,-,112
COX1,L0,S,clustalo,-,115
COX1,L0,S,mafft_auto,-,115
COX1,L0,S,mafft_parttree,-,115
COX1,L0,W,clustalo,-,137
COX1,L0,W,mafft_auto,-,137
COX1,L0,W,mafft_parttree,-,137
COX1,L0,X,clustalo,-,131
COX1,L0,X,mafft_auto,-,131
COX1,L0,X,mafft_parttree,-,131
COX1,L0,Y,clustalo,-,117
COX1,L0,Y,mafft_auto,-,117
COX1,L0,Y,mafft_parttree,-,117
COX1,L0,R0,clustalo,-,133
COX1,L0,R0,mafft_auto,-,133
COX1,L0,R0,mafft_parttree,-,133
COX1,L0,B6,clustalo,-,112
COX1,L0,B6,mafft_auto,-,112
COX1,L0,B6,mafft_parttree,-,112
COX1,L0,F,clustalo,-,154
COX1,L0,F,mafft_auto,-,154
COX1,L0,F,mafft_parttree,-,154
COX1,L0,J,clustalo,-,202
COX1,L0,J,mafft_auto,-,202
COX1,L0,J,mafft_parttree,-,202
COX1,L0,P,clustalo,-,133
COX1,L0,P,mafft_auto,-,133
COX1,L0,P,mafft_parttree,-,133
COX1,L0,K,clustalo,-,202
COX1,L0,K,mafft_auto,-,202
COX1,L0,K,mafft_parttree,-,202
COX1,L0,B,clustalo,-,230
COX1,L0,B,mafft_auto,-,230
COX1,L0,B,mafft_parttree,-,230
COX1,L0,HV,clustalo,-,147
COX1,L0,HV,mafft_auto,-,147
COX1,L0,HV,mafft_parttree,-,147
COX1,L0,T,clustalo,-,192
COX1,L0,T,mafft_auto,-,192
COX1,L0,T,mafft_parttree,-,192
COX1,L0,R,clustalo,-,173
COX1,L0,R,mafft_auto,-,173
COX1,L0,R,mafft_parttree,-,173
COX1,L0,H,clustalo,-,230
COX1,L0,H,mafft_auto,-,230
COX1,L0,H,mafft_parttree,-,230
COX1,L0,V,clustalo,-,131
COX1,L0,V,mafft_auto,-,131
COX1,L0,V,mafft_parttree,-,131
COX1,L0,U,clustalo,-,238
COX1,L0,U,mafft_auto,-,238
COX1,L0,U,mafft_parttree,-,238
COX1,L1,L2,clustalo,-,155
COX1,L1,L2,mafft_auto,-,155
COX1,L1,L2,mafft_parttree,-,155
COX1,L1,L3,clustalo,-,177
COX1,L1,L3,mafft_auto,-,177
COX1,L1,L3,mafft_parttree,-,177
COX1,L1,L4,clustalo,-,88
COX1,L1,L4,mafft_auto,-,88
COX1,L1,L4,mafft_parttree,-,88
COX1,L1,L5,clustalo,-,80
COX1,L1,L5,mafft_auto,-,80
COX1,L1,L5,mafft_parttree,-,80
COX1,L1,L6,clustalo,-,80
COX1,L1,L6,mafft_auto,-,80
COX1,L1,L6,mafft_parttree,-,80
COX1,L1,M,clustalo,-,273
COX1,L1,M,mafft_auto,-,273
COX1,L1,M,mafft_parttree,-,273
COX1,L1,C,clustalo,-,138
COX1,L1,C,mafft_auto,-,138
COX1,L1,C,mafft_parttree,-,138
COX1,L1,E,clustalo,-,88
COX1,L1,E,mafft_auto,-,88
COX1,L1,E,mafft_parttree,-,88
COX1,L1,G,clustalo,-,97
COX1,L1,G,mafft_auto,-,97
COX1,L1,G,mafft_parttree,-,97
COX1,L1,Q,clustalo,-,87
COX1,L1,Q,mafft_auto,-,87
COX1,L1,Q,mafft_parttree,-,87
COX1,L1,Z,clustalo,-,81
COX1,L1,Z,mafft_auto,-,81
COX1,L1,Z,mafft_parttree,-,81
COX1,L1,D,clustalo,-,173
COX1,L1,D,mafft_auto,-,173
COX1,L1,D,mafft_parttree,-,173
COX1,L1,N,clustalo,-,138
COX1,L1,N,mafft_auto,-,138
COX1,L1,N,mafft_parttree,-,138
COX1,L1,A,clustalo,-,136
COX1,L1,A,mafft_auto,-,136
COX1,L1,A,mafft_parttree,-,136
COX1,L1,I,clustalo,-,123
COX1,L1,I,mafft_auto,-,123
COX1,L1,I,mafft_parttree,-,123
COX1,L1,O,clustalo,-,75
COX1,L1,O,mafft_auto,-,75
COX1,L1,O,mafft_parttree,-,75
COX1,L1,S,clustalo,-,77
COX1,L1,S,mafft_auto,-,77
COX1,L1,S,mafft_parttree,-,77
COX1,L1,W,clustalo,-,103
COX1,L1,W,mafft_auto,-,103
COX1,L1,W,mafft_parttree,-,103
COX1,L1,X,clustalo,-,103
COX1,L1,X,mafft_auto,-,103
COX1,L1,X,mafft_parttree,-,103
COX1,L1,Y,clustalo,-,81
COX1,L1,Y,mafft_auto,-,81
COX1,L1,Y,mafft_parttree,-,81
COX1,L1,R0,clustalo,-,91
COX1,L1,R0,mafft_auto,-,91
COX1,L1,R0,mafft_parttree,-,91
COX1,L1,B6,clustalo,-,75
COX1,L1,B6,mafft_auto,-,75
COX1,L1,B6,mafft_parttree,-,75
COX1,L1,F,clustalo,-,116
COX1,L1,F,mafft_auto,-,116
COX1,L1,F,mafft_parttree,-,116
COX1,L1,J,clustalo,-,177
COX1,L1,J,mafft_auto,-,177
COX1,L1,J,mafft_parttree,-,177
COX1,L1,P,clustalo,-,100
COX1,L1,P,mafft_auto,-,100
COX1,L1,P,mafft_parttree,-,100
COX1,L1,K,clustalo,-,181
COX1,L1,K,mafft_auto,-,181
COX1,L1,K,mafft_parttree,-,181
COX1,L1,B,clustalo,-,211
COX1,L1,B,mafft_auto,-,211
COX1,L1,B,mafft_parttree,-,211
COX1,L1,HV,clustalo,-,120
COX1,L1,HV,mafft_auto,-,120
COX1,L1,HV,mafft_parttree,-,120
COX1,L1,T,clustalo,-,167
COX1,L1,T,mafft_auto,-,167
COX1,L1,T,mafft_parttree,-,167
COX1,L1,R,clustalo,-,139
COX1,L1,R,mafft_auto,-,139
COX1,L1,R,mafft_parttree,-,139
COX1,L1,H,clustalo,-,222
COX1,L1,H,mafft_auto,-,222
COX1,L1,H,mafft_parttree,-,222
COX1,L1,V,clustalo,-,99
COX1,L1,V,mafft_auto,-,99
COX1,L1,V,mafft_parttree,-,99
COX1,L1,U,clustalo,-,235
COX1,L1,U,mafft_auto,-,235
COX1,L1,U,mafft_parttree,-,235
COX1,L2,L3,clustalo,-,199
COX1,L2,L3,mafft_auto,-,199
COX1,L2,L3,mafft_parttree,-,199
COX1,L2,L4,clustalo,-,121
COX1,L2,L4,mafft_auto,-,121
COX1,L2,L4,mafft_parttree,-,121
COX1,L2,L5,clustalo,-,115
COX1,L2,L5,mafft_auto,-,115
COX1,L2,L5,mafft_parttree,-,115
COX1,L2,L6,clustalo,-,116
COX1,L2,L6,mafft_auto,-,116
COX1,L2,L6,mafft_parttree,-,116
COX1,L2,M,clustalo,-,289
COX1,L2,M,mafft_auto,-,289
